file,subject,session,begin_time,end_time,low_freq,high_freq,duration,delta_duration,max_freq,pfc_avg_slope,avg_entropy,agg_entropy,snr,ioi,ioi_2,delta_voice_freq,delta_voice_inflexion,delta_voice_entropy,delta_time_1,delta_time_2,delta_time_3,delta_time_4,max_freq_1,max_freq_2,max_freq_3,max_freq_4,pfc_avg_slope_1,pfc_avg_slope_2,pfc_avg_slope_3,pfc_avg_slope_4,avg_entropy_1,avg_entropy_2,avg_entropy_3,avg_entropy_4,pc_duration,pc_voice_freq,pc_voice_inflexion,pc_voice_entropy
Riet MZ04,Riet,1,757.5811,757.9896,6.383,1397.872,0.4085,-0.22640000000000005,547.852,1.147,7.613,8.154,19.23,0.8366999999999507,-0.22640000000000005,389.649,1.1280000000000001,0.3330000000000002,0.5267,1.2453,0.9007,1.5652,146.484,594.727,650.391,641.602,1.158,0.338,0.582,0.085,6.506,7.358,7.37,7.409,-35.65915892266499,246.29684645676755,5936.842105263159,4.574175824175827
Riet MZ04,Riet,1,765.7641,766.2907,12.766,1417.021,0.5267,0.11819999999999997,146.484,1.158,6.506,5.993,18.31,8.182999999999993,0.11819999999999997,-401.36799999999994,0.010999999999999899,-1.1070000000000002,1.2453,0.9007,1.5652,1.2403,594.727,650.391,641.602,609.375,0.338,0.582,0.085,0.413,7.358,7.37,7.409,7.404,28.935128518971844,-73.26212188693296,0.9590235396686921,-14.540916852751874
Riet MZ04,Riet,1,766.2957,767.5409,25.532,1397.872,1.2453,0.7186000000000001,594.727,0.338,7.358,7.863,22.68,0.5316000000000258,0.7186000000000001,448.24299999999994,-0.8199999999999998,0.8519999999999994,0.9007,1.5652,1.2403,1.0533,650.391,641.602,609.375,166.992,0.582,0.085,0.413,0.481,7.37,7.409,7.404,7.658,136.43440288589335,306.001338030092,-70.81174438687391,13.095604057792798
Riet MZ04,Riet,1,767.723,768.6238,19.149,1378.723,0.9007,-0.34460000000000013,650.391,0.582,7.37,7.785,21.23,1.4272999999999456,-0.34460000000000013,55.66399999999999,0.24399999999999994,0.012000000000000455,1.5652,1.2403,1.0533,0.4479,641.602,609.375,166.992,700.195,0.085,0.413,0.481,1.451,7.409,7.404,7.658,7.715,-27.67204689633021,9.359588517084308,72.18934911242602,0.1630877955966357
Riet MZ04,Riet,1,776.5905,778.1557,6.383,1289.362,1.5652,0.6645,641.602,0.085,7.409,8.149,22.36,8.867500000000064,0.6645,-8.788999999999987,-0.49699999999999994,0.0389999999999997,1.2403,1.0533,0.4479,0.5808,609.375,166.992,700.195,143.555,0.413,0.481,1.451,1.079,7.404,7.658,7.715,7.784,73.77595203730432,-1.3513409625901938,-85.39518900343643,0.5291723202170923
Riet MZ04,Riet,1,792.6686,793.9089,25.532,1346.809,1.2403,-0.32489999999999997,609.375,0.413,7.404,7.998,22.08,16.07809999999995,-0.32489999999999997,-32.226999999999975,0.32799999999999996,-0.004999999999999893,1.0533,0.4479,0.5808,1.0631,166.992,700.195,143.555,588.867,0.481,1.451,1.079,-0.52,7.658,7.715,7.784,7.755,-20.757730641451573,-5.022895813915788,385.8823529411764,-0.06748549061951536
Riet MZ04,Riet,1,800.6562,801.7095,12.766,1404.255,1.0533,-0.18700000000000006,166.992,0.481,7.658,8.279,22.21,7.987600000000043,-0.18700000000000006,-442.38300000000004,0.068,0.25400000000000045,0.4479,0.5808,1.0631,0.5217,700.195,143.555,588.867,635.742,1.451,1.079,-0.52,-1.055,7.715,7.784,7.755,7.781,-15.076997500604698,-72.59618461538462,16.46489104116223,3.4305780659103244
Riet MZ04,Riet,1,801.7538,802.2017,12.766,1391.489,0.4479,-0.6053999999999999,700.195,1.451,7.715,8.242,21.27,1.097599999999943,-0.6053999999999999,533.2030000000001,0.9700000000000001,0.056999999999999496,0.5808,1.0631,0.5217,0.6989,143.555,588.867,635.742,594.727,1.079,-0.52,-1.055,0.748,7.784,7.755,7.781,7.682,-57.47650242096268,319.29852927086336,201.6632016632017,0.7443196657090558
Riet MZ04,Riet,1,809.075,809.6558,6.383,1404.255,0.5808,0.13289999999999996,143.555,1.079,7.784,8.293,22.7,7.32120000000009,0.13289999999999996,-556.6400000000001,-0.3720000000000001,0.06899999999999995,1.0631,0.5217,0.6989,1.1321,588.867,635.742,594.727,624.023,-0.52,-1.055,0.748,0.406,7.755,7.781,7.682,7.655,29.671801741460136,-79.49785416919573,-25.63749138525156,0.894361633182112
Riet MZ04,Riet,1,809.9708,811.0339,25.532,1385.106,1.0631,0.48229999999999995,588.867,-0.52,7.755,8.299,19.26,0.8958000000000084,0.48229999999999995,445.31199999999995,-1.599,-0.028999999999999915,0.5217,0.6989,1.1321,1.0385,635.742,594.727,624.023,621.094,-1.055,0.748,0.406,0.476,7.781,7.682,7.655,7.694,83.04063360881541,310.20305806137014,-148.19277108433735,-0.37255909558067724
Riet MZ04,Riet,1,819.01,819.5317,19.149,1397.872,0.5217,-0.5413999999999999,635.742,-1.055,7.781,8.202,20.5,9.039199999999937,-0.5413999999999999,46.875,-0.5349999999999999,0.0259999999999998,0.6989,1.1321,1.0385,0.2756,594.727,624.023,621.094,717.773,0.748,0.406,0.476,0.055,7.682,7.655,7.694,7.753,-50.926535603423936,7.960201539566659,102.88461538461537,0.33526756931012
Riet MZ04,Riet,1,819.7581,820.4571,19.149,1397.872,0.6989,0.1771999999999999,594.727,0.748,7.682,8.155,21.13,0.7481000000000222,0.1771999999999999,-41.014999999999986,1.803,-0.09899999999999931,1.1321,1.0385,0.2756,0.9893,624.023,621.094,717.773,597.656,0.406,0.476,0.055,0.522,7.655,7.694,7.753,7.708,33.965880774391394,-6.451516495685356,-170.9004739336493,-1.2723300346999014
Riet MZ04,Riet,1,828.7152,829.8472,31.915,1442.553,1.1321,0.43320000000000014,624.023,0.406,7.655,8.214,20.3,8.957099999999969,0.43320000000000014,29.29600000000005,-0.34199999999999997,-0.027000000000000135,1.0385,0.2756,0.9893,1.3683,621.094,717.773,597.656,632.812,0.476,0.055,0.522,-0.229,7.694,7.753,7.708,7.627,61.98311632565462,4.925957624254498,-45.72192513368984,-0.35147097110127745
